video_id,titulo,canal,categoria_estimulacion,tipo_produccion,formato,fuente_etiqueta,url,duracion_analizada_seg,cortes_por_minuto,duracion_promedio_escena,magnitud_movimiento_promedio,variabilidad_movimiento,luminosidad_promedio,variabilidad_luminosidad,contraste_promedio,variabilidad_contraste,saturacion_promedio,variabilidad_saturacion,flicker_promedio,destellos_por_minuto,riqueza_cromatica,densidad_bordes_promedio,energia_audio_promedio,variabilidad_audio,tempo_bpm,onsets_por_minuto,brillo_espectral_promedio
Zr0QijS9vOo,⭐NUEVO⭐ El Blippi Móvil 🚗💙🧡 Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=Zr0QijS9vOo,120.0,3.5,15.0,0.7337,0.9437,135.52,32.85,59.38,11.45,88.71,34.34,0.4666,3.0,24.58,12.67,0.0791,0.0509,129.2,222.5,2640.35
rEJ0va5dhj4,La aventura en el carrusel con Blippi y Meekah 🎠✨ Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=rEJ0va5dhj4,120.0,6.0,9.23,1.1972,1.1411,157.97,28.51,61.31,11.3,84.44,42.1,0.5631,3.5,25.57,13.09,0.0976,0.0507,129.2,224.0,2580.4
zxe758xFsP8,Blippi y Meekah juegan con huevos de Dinosaurio y Slime 🦖  Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=zxe758xFsP8,120.0,13.5,4.29,0.525,0.9205,193.04,16.61,53.23,10.51,130.16,21.63,0.4832,10.0,24.37,11.03,0.1101,0.0691,136.0,213.5,2717.96
fzN86301BlM,⭐NUEVO⭐ Una dulce aventura con Blippi 🍭🍬🍦 Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=fzN86301BlM,120.0,3.0,17.14,0.9474,0.9959,142.29,27.17,46.97,7.3,95.4,32.02,0.434,2.5,26.24,11.07,0.0695,0.0532,152.0,227.0,2584.31
a7IWuKiKCQE,Diversión con slime de colores 🌈 Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=a7IWuKiKCQE,120.0,4.5,12.0,0.7036,0.8611,108.97,34.09,55.06,10.11,98.61,29.37,0.3678,2.5,25.03,7.46,0.1189,0.0591,129.2,228.0,2750.74
FpyGwiczUGk,Blippi aprende Fútbol Americano 🏈 ⭐ Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=FpyGwiczUGk,120.0,3.0,17.14,1.0456,1.2727,103.7,34.7,48.62,8.73,109.17,26.81,0.4127,2.5,21.75,17.9,0.1124,0.0655,143.55,240.0,2610.28
ZjKgD6lWuIY,⭐NUEVO⭐ Dinosaurios en el Centro de Ciencias 🦖 Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=ZjKgD6lWuIY,120.04,4.0,13.34,1.003,1.0606,100.3,40.8,50.84,9.87,83.78,34.3,0.5133,3.0,21.91,6.25,0.1029,0.0726,129.2,239.0,2654.46
8zTXJTrQO7A,Blippi visita un Parque Acuático 💦🌊 Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=8zTXJTrQO7A,120.0,3.5,15.0,1.0753,1.221,146.03,23.43,54.23,7.51,94.39,32.27,0.4409,3.0,24.27,12.06,0.1,0.073,129.2,254.0,2737.18
fWi8_aZbfg8,Blippi explora el Museo de Historia Natural 🦕🦖🌎  Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=fWi8_aZbfg8,120.0,3.0,17.14,0.8957,0.9843,118.81,32.8,45.49,8.42,74.24,37.91,0.3493,2.5,23.79,12.03,0.108,0.0758,136.0,216.5,2615.72
AIqf1vqT_38,⭐NUEVO⭐ La hermosa creación en vidrio de Blippi 🎨 Blippi Español,Blippi en Español,Alta Estimulacion,accion_real,educativo_exploratorio,Curaduria_Canales,https://www.youtube.com/watch?v=AIqf1vqT_38,120.0,3.0,17.14,0.8873,0.9097,135.67,31.7,45.33,12.54,60.58,41.45,0.4531,3.0,22.92,8.97,0.0757,0.0552,99.38,209.0,2643.37
B3ZfSa-_aRk,Las Mejores Canciones Nuevas del 2021 | Pinkfong Canciones ​Infantiles | Videos para Niños,Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=B3ZfSa-_aRk,120.03,17.0,3.43,1.1459,1.4946,222.25,24.76,39.7,9.94,144.06,47.4,0.5792,8.0,19.49,5.81,0.1711,0.0974,129.2,183.5,2402.82
zPq2OrrgCkY,🦁Esta Es la Sabana 🐘🦓🦒| Canciones de Animales | Pinkfong Canciones Infantiles,Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=zPq2OrrgCkY,101.93,22.96,2.55,0.7638,1.2117,200.95,38.75,45.18,19.09,134.64,63.41,0.7653,18.84,18.93,5.97,0.2363,0.1223,123.05,131.85,2588.76
aBDtoXLMSxw,"Mix - Tiburón Bebé Más y Más, y otras Canciones Infantiles Divertidas | Pinkfong en español",Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=aBDtoXLMSxw,120.03,12.5,4.62,1.4063,1.5031,200.01,36.37,38.69,12.87,197.15,43.28,0.8401,9.5,19.37,6.7,0.2014,0.0976,112.35,157.5,2802.28
y31LeqM0JNs,Las Mejores Canciones del 2019 | Banana y muchas más | +Recopilación | Pinkfong Canciones Infantiles,Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=y31LeqM0JNs,120.04,17.99,3.24,1.0403,1.3251,213.6,44.73,37.3,14.77,145.4,47.96,0.6923,11.0,19.51,5.15,0.2018,0.0898,129.2,234.5,2870.35
kq_nsRIbYgU,"Animlales de la Selva | ¡Hola, Búfalo! |+Recopilación | Pinkfong Canciones Infantiles",Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=kq_nsRIbYgU,120.03,20.99,2.79,1.1785,1.4359,204.5,25.93,54.77,17.59,159.09,40.91,0.9226,14.0,19.29,6.76,0.2431,0.1148,136.0,188.5,2663.1
q4E-9cn98f8,Las Mejores Canciones de Dinosaurios | +Recopilación completa | Pinkfong Canciones Infantiles,Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=q4E-9cn98f8,120.05,25.49,2.31,1.0,1.3746,184.68,42.67,53.02,22.83,179.72,48.59,1.6363,36.98,19.17,5.49,0.236,0.1121,129.2,134.5,2420.78
9ISoGQqsZeA,Dinosaurios para niños 🦖🦕 | +Recopilación | Pinkfong Canciones y Cuentos Infantiles,Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=9ISoGQqsZeA,120.03,25.99,2.26,1.1538,1.3648,191.93,43.23,46.17,19.14,185.11,63.36,1.108,20.49,19.7,6.25,0.2561,0.1235,103.36,140.0,2572.45
wXGS3AgEOs4,100 Pequeños Ninimos🐱 | Canción de los Gatitos | Pinkfong en español,Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=wXGS3AgEOs4,120.0,12.5,4.62,1.0082,1.2267,219.99,20.67,37.18,14.69,101.2,47.27,0.4483,5.5,19.78,6.61,0.108,0.0577,117.45,246.0,2773.53
kWifx4_vvsI,¿Has Visto a Mi Mo?🐱 | ¿Dónde esta mi Mo?🔎 | Canciones Pop Latino de Ninimo | Pinkfong en español,Pinkfong en español - Canciones Infantiles,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=kWifx4_vvsI,120.0,14.0,4.14,0.5526,1.1808,231.88,15.55,26.33,8.07,109.71,34.7,0.3676,8.0,17.06,3.89,0.1341,0.0506,129.2,211.5,2160.51
pvZHkbrbcdE,MIX 🧻¡Aprendamos a ir al baño solo! 😝| +Recopilación | Cantemos con Hogi | Hogi en español,Hogi & Pinkfong en español - Juega y Aprende,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=pvZHkbrbcdE,120.03,16.5,3.53,0.5851,0.8116,222.21,23.09,34.75,7.49,116.55,26.17,0.3849,4.5,19.72,5.56,0.1667,0.0835,129.2,179.5,2278.55
WKHpeRz1oOc,La Vaca Lola de Colores + La Abejita Mágica y el Bebé Doctor 🐮🐝🩺 LooLoo Kids Español,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=WKHpeRz1oOc,120.04,31.99,1.85,1.2976,1.6636,165.5,28.56,57.18,8.96,157.32,19.55,0.8531,13.5,23.52,12.45,0.1236,0.0497,143.55,192.5,2379.35
35AIPLe2Jcw,Los Pollitos + Vaca Lola + A Ram Sam Sam + ¿Quién rompe la piñata? - Canciones Infantiles para niños,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=35AIPLe2Jcw,120.0,15.5,3.75,0.76,1.1489,160.9,22.39,59.21,10.68,173.79,18.61,0.6176,11.5,20.62,8.99,0.1049,0.0497,103.36,265.5,2218.21
Tb-D78y-Do0,Los Pollitos Dicen + Las Hormiguitas + La Vaca Lola 🐥 Canciones de la Granja para Niños,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=Tb-D78y-Do0,120.0,20.5,2.86,0.9773,1.5722,151.29,22.91,56.81,10.51,176.6,20.8,0.7254,15.5,20.38,9.39,0.1186,0.0585,103.36,270.5,2215.03
7My-mrmPwZg,Tengo dos Manitas + Cucú ¿Donde estás? Canciones de Buenos Hábitos para Niños - Canciones Infantiles,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=7My-mrmPwZg,120.0,20.0,2.93,0.7682,1.2826,151.8,20.66,49.3,9.16,116.39,30.27,0.6998,12.0,23.73,8.22,0.1291,0.0513,117.45,220.5,2667.15
41_9ANZvLDE,Bebé Tiburón - Aprende los Colores con Bolas de Colores 2 - Canciones Infantiles LooLoo,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=41_9ANZvLDE,120.0,23.5,2.5,0.8051,0.9422,205.7,28.4,45.87,17.81,117.05,26.25,0.7542,17.0,21.61,7.78,0.2145,0.0883,117.45,191.5,2842.24
M-ZQ6xrmm50,Soy Una Serpiente + A Ram Sam Sam 🐍 Canciones Infantiles para Niños | LooLoo Kids en Español,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=M-ZQ6xrmm50,120.0,24.5,2.4,2.048,1.9519,170.55,33.8,49.49,14.9,118.71,33.0,1.1557,17.0,24.58,10.26,0.1185,0.0445,117.45,210.5,2805.01
Iz_9abaqMU8,Vaca Lola + Los Pollitos + Ruedas del Autobus - (Aprende Las Formas) Canciones Infantiles para Ninos,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=Iz_9abaqMU8,120.0,23.5,2.5,0.8989,1.3717,161.63,20.54,60.62,7.5,147.2,24.82,0.7676,13.5,21.84,11.32,0.1194,0.0545,143.55,236.5,2427.48
zuDwJIs2Qwc,Los Pollitos Dicen + La Vaca Lola - La Canción del Boo Boo - Canciones Infantiles LooLoo,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=zuDwJIs2Qwc,120.0,21.5,2.73,0.8267,1.2239,158.45,20.77,59.36,8.75,169.71,22.45,0.6895,10.5,21.31,10.15,0.1375,0.0604,103.36,265.0,2327.54
15jq_b5dH5w,¡Las Ruedas del Autobús con La Vaca Lola y Los Pollitos - Canciones Infantiles,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=15jq_b5dH5w,120.0,14.5,4.0,1.0442,1.096,155.34,21.97,58.43,8.79,105.37,25.9,0.6785,9.5,23.42,11.76,0.1301,0.0362,136.0,231.5,2650.94
FlwbvgPdUFU,Sonidos de los Animales (Aprende los Colores) + Un Elefante Se Balanceaba - Canciones Infantiles,Canciones Infantiles - LooLoo,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=FlwbvgPdUFU,120.0,24.0,2.45,1.2316,1.6347,162.93,21.73,56.51,9.92,145.62,22.1,0.9466,17.5,24.27,13.15,0.1632,0.059,117.45,194.5,2536.89
oGtx7RnTP3Y,Vamos al parque con la maestra 🌳 Canciones Infantiles 🎵 Little Baby Bum,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=oGtx7RnTP3Y,120.04,10.5,5.46,0.8309,0.9572,199.97,25.55,41.4,10.29,151.16,24.96,0.4046,6.5,21.68,6.79,0.0913,0.0481,129.2,162.0,2627.15
tEZQvtL5Jso,El autobús amarillo por la ciudad va 🚌 Canciones Infantiles 🎵,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=tEZQvtL5Jso,120.02,32.99,1.79,1.6208,1.9761,148.58,25.8,71.49,12.59,111.01,35.28,1.0614,19.0,23.75,10.2,0.0996,0.0402,136.0,222.0,2090.31
j_AXof2fLXs,Hora del baño 🛁🫧 Canciones Infantiles 🎵 Little Baby Bum,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=j_AXof2fLXs,120.04,14.5,4.0,0.8996,1.0245,212.51,27.08,43.28,12.13,66.22,28.76,0.5125,9.0,22.98,4.45,0.1339,0.0647,129.2,185.0,2149.71
K2vPUtmgpXE,El autobús va por la lluvia 🌧️🚌 Canciones Infantiles 🎵 Little Baby Bum,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=K2vPUtmgpXE,111.34,11.32,5.06,0.9701,1.0596,106.94,22.49,64.68,18.64,144.4,23.31,0.4347,8.62,24.29,8.36,0.0847,0.0362,136.0,216.32,2470.15
H4Olvn-I8II,Manualidades con botellas 🧶🎨 Canciones Infantiles 🎵 Little Baby Bum,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=H4Olvn-I8II,120.04,14.0,4.14,0.8499,1.0855,204.18,25.7,37.9,8.03,86.72,24.33,0.4023,7.0,22.52,6.91,0.1226,0.0502,143.55,214.0,2433.5
bm1Pi0fPclY,El helicoptero apaga el fuego  🚁🔥 Canciones Infantiles 🎵 Little Baby Bum,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=bm1Pi0fPclY,120.02,29.5,2.0,1.9323,2.2458,163.18,38.52,64.4,13.7,135.72,41.13,1.1845,25.0,23.17,10.04,0.1045,0.0445,136.0,210.5,2387.48
Ri5qp6na7yY,Max descubren las estrellas🌟 Canciones Infantiles 🎵 Little Baby Bum,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=Ri5qp6na7yY,120.04,10.5,5.46,0.833,1.0361,126.4,14.47,48.67,12.3,155.62,13.49,0.4367,5.5,22.05,7.46,0.1119,0.069,89.1,129.0,2219.56
Qj4HqYKJkxM,La canción de los camiones 🚚 Canciones Infantiles 🎵 Little Baby Bum,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=Qj4HqYKJkxM,87.35,21.98,2.65,2.0644,1.9024,160.98,46.9,62.11,14.96,117.17,38.68,1.4533,20.61,21.74,6.62,0.09,0.0503,89.1,219.45,2397.46
mg3EOpsRi7k,Haciendo instrumentos musicales 🎵 Canciones Infantiles 🎵 Little Baby Bum,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=mg3EOpsRi7k,120.04,16.99,3.43,1.1271,1.3203,175.46,40.27,50.14,12.19,106.08,33.77,0.9099,14.5,21.49,6.35,0.1228,0.0589,117.45,196.0,2315.89
tB-sYK6mdII,El chofer del autobús 🚌 Canciones Infantiles 🎵,Little Baby Bum en Español,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=tB-sYK6mdII,120.02,26.5,2.22,1.6255,1.6961,132.83,25.9,68.42,10.79,129.03,43.82,1.0315,18.5,22.86,8.76,0.0912,0.0389,136.0,193.5,2052.48
nyKKtzUzvYA,Supermarketsweep,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=nyKKtzUzvYA,61.29,0.0,61.29,6.9258,2.1312,135.57,18.19,57.22,8.3,69.58,20.53,4.5588,24.47,26.34,10.0,0.0781,0.0549,129.2,212.4,2420.62
sa9vZ4LqeCI,Glee promo,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=sa9vZ4LqeCI,36.17,29.86,1.9,0.7401,1.2428,70.32,56.12,56.8,17.9,95.48,36.53,1.1039,24.88,20.76,3.53,0.0641,0.0258,129.2,179.12,2597.77
-nnXZ5ER2jI,Kelly Clarkson Live,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=-nnXZ5ER2jI,71.0,0.0,71.0,2.1021,1.3502,171.48,68.72,41.74,7.77,187.98,36.3,1.3831,0.85,13.96,1.32,0.0992,0.0296,107.67,11.83,1865.67
o9llFodLSQc,Glee - Mr James Dean,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=o9llFodLSQc,120.04,30.99,1.91,1.3169,1.6535,74.69,27.72,51.16,14.2,101.82,29.12,1.4946,35.49,20.92,3.05,0.2036,0.0879,136.0,123.5,2207.23
FKxDeGq2rPI,podcast thing 2.mov,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=FKxDeGq2rPI,120.09,0.0,120.09,0.4088,0.3138,63.06,4.49,57.21,1.64,126.13,6.48,0.4365,0.0,25.31,1.24,0.0683,0.0713,129.2,166.0,2391.12
5F7dc8KeNfo,Podcast thing 1.mov,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=5F7dc8KeNfo,120.08,3.5,15.01,1.5793,1.018,81.69,8.7,63.42,8.51,106.51,9.46,1.6163,2.5,25.3,1.96,0.0558,0.0666,129.2,166.5,2330.04
8yiczzKMnGY,y,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=8yiczzKMnGY,16.5,0.0,16.5,6.702,2.4741,142.02,26.55,55.96,10.86,59.31,17.75,9.004,76.38,22.63,7.88,0.0925,0.1546,103.36,166.51,1515.81
CbZ-alv6-hI,playing pool!,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=CbZ-alv6-hI,59.41,7.07,7.43,4.5028,3.3011,114.0,46.46,72.82,12.44,169.81,29.83,5.4405,54.54,20.45,6.08,0.1906,0.1869,112.35,165.14,1563.16
yquvuc4BNv8,.,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=yquvuc4BNv8,93.67,8.97,6.24,6.3349,3.9532,132.38,48.03,53.75,20.01,78.67,47.2,10.5497,101.2,21.41,4.36,0.0974,0.1463,123.05,158.1,1401.58
X0sZbd9WVY0,m,blueyes,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=X0sZbd9WVY0,16.08,7.46,5.36,0.9204,0.7604,38.66,8.31,32.76,8.82,205.59,16.55,0.8797,3.73,14.25,2.01,0.0495,0.0556,129.2,189.62,1616.84
5xu_EJIwguA,Daniel Tigre en Español - Tratar a los demás adecuadamente (Episodios Completos),Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=5xu_EJIwguA,120.08,13.99,4.14,1.254,1.825,194.62,30.41,44.49,9.03,122.21,22.9,0.8002,12.49,21.88,8.98,0.0321,0.0187,117.45,151.0,2302.3
r1cmhVPF-jE,Daniel explora la naturaleza (episodios completos) | Daniel Tigre en Español,Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=r1cmhVPF-jE,120.08,4.0,13.34,0.7187,1.0072,170.22,13.56,47.81,5.33,152.72,15.14,0.3347,2.0,22.97,13.01,0.0429,0.0255,143.55,172.0,2421.99
RpwdViOQDFA,Visitando al abuelo | Temporada 3 (episodios completos) | Daniel Tigre en Español,Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=RpwdViOQDFA,120.08,5.0,10.92,0.6518,0.9581,182.95,14.15,48.95,6.36,141.78,18.59,0.3416,3.0,24.17,11.69,0.0337,0.0225,117.45,183.5,2481.88
Jlptnc59LZ8,La clase de Daniel tiene un show de talentos (episodios completos) Daniel Tigre en Español,Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=Jlptnc59LZ8,120.08,7.5,7.51,0.709,0.9559,184.86,19.02,49.72,10.89,135.98,26.48,0.4296,7.0,22.04,8.02,0.0364,0.0217,107.67,187.5,2437.25
h1SjZmFWyYo,Daniel Tigre en Español - ¡Una nueva vecina!,Daniel Tigre en Español - Scholastic,Baja/Moderada Estimulacion,animacion,narrativo,Curaduria_Canales,https://www.youtube.com/watch?v=h1SjZmFWyYo,120.04,3.5,15.01,0.3764,0.5158,177.14,15.4,39.65,4.29,129.43,12.33,0.2696,2.0,22.79,11.44,0.0267,0.0198,136.0,177.5,2096.5
